id,created_at,source,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,user_id_str,user_screen_name,place_country_code,place_full_name,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,text
1069779669937836032,2018-12-04 02:25:23,Twitter for Android,,,,795592050901028865,itschandany,,,False,2,0,False,False,en,RT @NitinNaik5: The #crested #tern perched on wooden poles midstream in the #river make a pretty #picture. They spend a lot of time preenin…
1070459513034158080,2018-12-05 23:26:50,Twitter Web Client,,,,1070417203982405632,ArtLodestone,,,False,0,1,False,False,en,My kind of entertainment and education! #nature #river #livestream #Earth #MotherEarth #Wild #ShowYourWild… https://t.co/R7XrrO8NKM
1070448719542181888,2018-12-05 22:43:57,Twitter for Android,,,,826564332,gabriel67891734,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070420473375264768,2018-12-05 20:51:42,Twitter Web Client,,,,1013036604301168640,WSchemes,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070377431905824768,2018-12-05 18:00:41,Twitter for Android,,,,476140015,MgayaLums,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070373752641343500,2018-12-05 17:46:03,Twitter for Android,,,,25081451,SaleemulHuq,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070364226865238016,2018-12-05 17:08:12,Twitter Web Client,,,,27690496,GreenRoofGrower,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070336013585784834,2018-12-05 15:16:06,Twitter for iPhone,,,,143844718,ByHedge,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070332614945443842,2018-12-05 15:02:35,Twitter for iPhone,,,,198527861,sdosemagen,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070320690648309761,2018-12-05 14:15:12,Twitter Web Client,,,,4518716163,fester_thomas,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070318859263987712,2018-12-05 14:07:56,Twitter for iPad,,,,18251107,Purshia,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070316724912877569,2018-12-05 13:59:27,Twitter for iPhone,,,,84350127,rebecca_altman,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070311003303202816,2018-12-05 13:36:43,Twitter for Android,,,,49881109,prabhudesai,,,False,2,0,False,False,en,"RT @NitinNaik5: The #Osprey waits patiently perched on a wooden pole midstream on the Zuari #river in #Goa plotting it’s next sortie, snatc…"
1070297631870447616,2018-12-05 12:43:35,Twitter Web Client,,,,19451700,eric_vanpraag,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070293273992941568,2018-12-05 12:26:16,Twitter for Android,,,,106448991,H2odges,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070292517286043648,2018-12-05 12:23:15,Twitter for iPhone,,,,19420958,StuartMcLelland,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070287183003582464,2018-12-05 12:02:04,Twitter for Android,,,,875962627196833793,habib_6002,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070276899534909441,2018-12-05 11:21:12,Twitter for Android,,,,2492383207,Alamin49461671,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070274958826266624,2018-12-05 11:13:29,Twitter for Android,,,,973283683,vanesa0b1,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070274525223370752,2018-12-05 11:11:46,Twitter Web Client,,,,422971305,WoodinRivers,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070273732885782528,2018-12-05 11:08:37,Twitter for iPhone,,,,861686077,MaxLiboiron,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070273661012037632,2018-12-05 11:08:20,Twitter Web Client,,,,162638920,skrokon,,,False,25,102,False,False,en,"The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070770144442507264,2018-12-06 20:01:11,Instagram,,,,221113905,Agharti34,IT,"Livo, Lombardia",False,0,0,False,False,en,Small waterfall in the woods
 .
 .
 .
 #Italy #Lombardia #water #nature #stream #river #leaf #outdoors #wood… https://t.co/ddWJkvt3CR
1070768708195442690,2018-12-06 19:55:28,Twitter for iPhone,,,,778513486754246656,MUCKBUTCH,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070767054515552256,2018-12-06 19:48:54,Twitter Web Client,,,,3741293727,tictacbergerac,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070766958000439301,2018-12-06 19:48:31,Twitter for iPhone,,,,895283549066211328,PlanetEarthGeol,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070737892325101569,2018-12-06 17:53:01,Twitter for iPhone,,,,730996090409869316,teddygofficial,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070699641526726657,2018-12-06 15:21:01,IFTTT,,,,707894140109885441,TheVisuality,,,False,0,0,False,False,en,River streaming over the ground... .
 .
 .
 #water #palm #environment #beautiful #seashore #season #outdoors #tourism… https://t.co/1aMjsU1xww
1070579404563111936,2018-12-06 07:23:15,Twitter Web Client,,,,2514234883,_James_Elmore,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070552720409542656,2018-12-06 05:37:13,Twitter for iPad,,,,2269364113,frangrancha,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1070495286680842240,2018-12-06 01:48:59,Twitter for iPhone,,,,1037900858174984193,TaleaMayo,,,False,25,0,False,False,en,"RT @skrokon: The 7,000 Streams that Become the #Mississippi #River.
 @riverine_people
 https://t.co/RfGvApd0ja https://t.co/u3P0wmAxbr"
1071011571822931968,2018-12-07 12:00:31,Instagram,,,,65443290,chazzy_d,,,False,0,0,False,False,en,#water #shropshirehills #shropshire #nature #landscape #stream #river #longexpsosure #landscapephotography #sonya7r… https://t.co/VsSnYMR00L
1071457239855218688,2018-12-08 17:31:27,Instagram,,,,30752275,NicholasVitale,,,False,0,0,False,False,en,River Stream Nicholas Vitale on Apple Music &amp; Spotify 🌲🌲🌲 Download on iTunes | Amazon  #centennialpark #nashville… https://t.co/nwvujmtd5D
1071392613377499138,2018-12-08 13:14:39,Aldo Zaffalon,,,,2785271728,yamatho2,,,False,1,0,False,False,en,RT @pilotnavia: Reposting @michaeldeanshelton: Praise the bridge that carried you over. -George Colman #bridge #water #river #stream #archi…
1071286976207302656,2018-12-08 06:14:53,TwitterAppBots,,,,2595870686,daniceraj,,,False,1,0,False,False,en,RT @TheVisuality: River bank..... . . . . #shore #stream #environment #stone #beautiful #river #summer #horizontal_plane #beach #no_person…
1071273356270469120,2018-12-08 05:20:46,IFTTT,,,,707894140109885441,TheVisuality,,,False,1,0,False,False,en,River bank..... . . . . #shore #stream #environment #stone #beautiful #river #summer #horizontal_plane #beach… https://t.co/GlFdFh5i31
1071255818161422336,2018-12-08 04:11:04,Travel01,,,,795466031032635393,AccTravel,,,False,1,0,False,False,en,RT @JoeyOstrander: #🌳 #thewoods a #stream that all follow a #waterfall [__________________________] #hike #river #forest #undergrowth #heml…
1071242302625062912,2018-12-08 03:17:22,Instagram,,,,362191729,JoeyOstrander,,,False,1,0,False,False,en,#🌳 #thewoods a #stream that all follow a #waterfall [__________________________] #hike #river #forest #undergrowth… https://t.co/lfvTaf1urF
1072392076820664322,2018-12-11 07:26:09,Instagram,,,,30752275,NicholasVitale,,,False,0,0,False,False,en,River | Woodstock
 Nick’s Christmas 🎄 Remix 💫
 STREAM on #applemusic #spotify #itunes #amazon etc!! #mix #remix… https://t.co/CCXjQ2UmDe
1072917487119929344,2018-12-12 18:13:57,Twitter for Android,,,,3291337947,ThePhotoHour,,,False,2,0,False,False,en,RT @Vemil13: Survival #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #nature #longexposure #color #autumn #fall https:…
1072895006988472326,2018-12-12 16:44:37,Aldo Zaffalon,,,,2785271728,yamatho2,,,False,2,0,False,False,en,RT @Vemil13: Survival #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #nature #longexposure #color #autumn #fall https:…
1072894815166218241,2018-12-12 16:43:52,Twitter Web Client,,,,1536451098,Vemil13,,,False,2,4,False,False,en,Survival #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #nature #longexposure #color #autumn… https://t.co/BKBDPGgBW3
1072664704928153600,2018-12-12 01:29:29,Aldo Zaffalon,,,,2785271728,yamatho2,,,False,1,0,False,False,en,RT @SGumpa: Photo By PublicDomainPictures | Pixabay - via @Crowdfire  
  #water #river #pond #streaming #fishingandoutdoors https://t.co/CdK…
1072663601851322368,2018-12-12 01:25:06,Crowdfire - Go Big,,,,1023563993875722240,SGumpa,,,False,1,5,False,False,en,Photo By PublicDomainPictures | Pixabay - via @Crowdfire  
  #water #river #pond #streaming #fishingandoutdoors https://t.co/CdKNPQXANw
1073340489418575873,2018-12-13 22:14:49,Twitter Web Client,,,,1536451098,Vemil13,,,False,0,0,False,False,en,Mirror Cleaning #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #nature #longexposure #color… https://t.co/kyH9g0TxRY
1073310643644706817,2018-12-13 20:16:13,Twitter for Android,,,,3291337947,ThePhotoHour,,,False,1,0,False,False,en,RT @Vemil13: Preparation for Winter #ThePhotoHour #dailyphoto #MyPhoto #photoart #water #stream #river #nature #longexposure #blackandwhite…
1073309010491817984,2018-12-13 20:09:43,Twitter Web Client,,,,1536451098,Vemil13,,,False,1,4,False,False,en,Preparation for Winter #ThePhotoHour #dailyphoto #MyPhoto #photoart #water #stream #river #nature #longexposure… https://t.co/Mk51ffvm6E
1073705687014928385,2018-12-14 22:25:58,Twitter for Android,,,,3291337947,ThePhotoHour,,,False,1,0,False,False,en,RT @Vemil13: Difficulty Crossing #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #waterfalls #nature #longexposure http…
1073689160639307778,2018-12-14 21:20:18,Twitter Web Client,,,,1536451098,Vemil13,,,False,1,4,False,False,en,Difficulty Crossing #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #waterfalls #nature… https://t.co/DPRUxm8zZV
1073631157768470528,2018-12-14 17:29:49,Twitter for Android,,,,3291337947,ThePhotoHour,,,False,1,0,False,False,en,RT @Vemil13: Hidden Pathways #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #nature #longexposure #color #longexposure…
1073614896187756544,2018-12-14 16:25:12,Twitter Web Client,,,,1536451098,Vemil13,,,False,1,2,False,False,en,Hidden Pathways #ThePhotoHour #dailyphoto #MyPhoto #photoart  #water #stream #river #nature #longexposure #color… https://t.co/4sejA5Ho6C
